X;Filing Date;Trade Date;Ticker;Insider Name;Title;Trade Type;Price;Qty;Value;FC
D;2025-06-03 16:34:39;2025-05-30;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;37003;0;0001127602-25-016515
D;2025-06-03 16:34:39;2025-05-30;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;F - Tax;19.79;-18347;363087;0001127602-25-016515
D;2025-06-03 16:34:39;2025-05-30;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;-37003;0;0001127602-25-016515
D;2025-06-03 16:33:47;2025-05-30;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;46198;0;0001127602-25-016513
D;2025-06-03 16:33:47;2025-05-30;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;F - Tax;19.79;-18179;359762;0001127602-25-016513
D;2025-06-03 16:33:47;2025-05-30;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;-46198;0;0001127602-25-016513
DM;2025-06-03 16:31:43;2025-05-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;12303;0;0001127602-25-016503
DM;2025-06-03 16:31:43;2025-05-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;19.64;-6100;119788;0001127602-25-016503
DM;2025-06-03 16:31:43;2025-05-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-12303;0;0001127602-25-016503
D;2025-06-03 16:30:22;2025-05-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;22426;0;0001127602-25-016494
D;2025-06-03 16:30:22;2025-05-30;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;19.79;-9610;190182;0001127602-25-016494
D;2025-06-03 16:30:22;2025-05-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-22426;0;0001127602-25-016494
D;2025-05-08 17:25:47;2025-05-07;INTC;Yeary Frank D;Director;M - OptEx;0.0;35146;0;0001127602-25-013742
DM;2025-05-08 17:25:47;2025-05-07;INTC;Yeary Frank D;Director;A - Grant;0.0;61757;0;0001127602-25-013742
D;2025-05-08 17:25:47;2025-05-07;INTC;Yeary Frank D;Director;M - OptEx;0.0;-35146;0;0001127602-25-013742
DM;2025-05-08 17:23:22;2025-05-06;INTC;Weisler Dion J;Director;M - OptEx;0.0;11364;0;0001127602-25-013741
DM;2025-05-08 17:23:22;2025-05-06;INTC;Weisler Dion J;Director;F - Tax;19.95;-3410;68030;0001127602-25-013741
DM;2025-05-08 17:23:22;2025-05-06;INTC;Weisler Dion J;Director;M - OptEx;0.0;-11364;0;0001127602-25-013741
D;2025-05-08 17:23:22;2025-05-07;INTC;Weisler Dion J;Director;A - Grant;0.0;12552;0;0001127602-25-013741
DM;2025-05-08 17:22:20;2025-05-06;INTC;Smith Stacy J;Director;M - OptEx;0.0;10068;0;0001127602-25-013740
DM;2025-05-08 17:22:20;2025-05-06;INTC;Smith Stacy J;Director;M - OptEx;0.0;-10068;0;0001127602-25-013740
D;2025-05-08 17:22:20;2025-05-07;INTC;Smith Stacy J;Director;A - Grant;0.0;12552;0;0001127602-25-013740
D;2025-05-08 17:17:03;2025-05-07;INTC;Smith Gregory D;Director;A - Grant;0.0;12552;0;0001127602-25-013739
D;2025-05-08 17:13:17;2025-05-06;INTC;Sanghi Steve;Director;M - OptEx;0.0;5132;0;0001127602-25-013738
D;2025-05-08 17:13:17;2025-05-06;INTC;Sanghi Steve;Director;M - OptEx;0.0;-5132;0;0001127602-25-013738
D;2025-05-08 17:13:17;2025-05-07;INTC;Sanghi Steve;Director;A - Grant;0.0;12552;0;0001127602-25-013738
DM;2025-05-08 17:12:09;2025-05-07;INTC;Novick Barbara;Director;A - Grant;0.0;19582;0;0001127602-25-013735
D;2025-05-08 17:10:52;2025-05-06;INTC;Meurice Eric;Director;M - OptEx;0.0;5132;0;0001127602-25-013734
D;2025-05-08 17:10:52;2025-05-06;INTC;Meurice Eric;Director;M - OptEx;0.0;-5132;0;0001127602-25-013734
D;2025-05-08 17:10:52;2025-05-07;INTC;Meurice Eric;Director;A - Grant;0.0;12552;0;0001127602-25-013734
D;2025-05-08 17:09:50;2025-05-06;INTC;Liu Tsu-Jae King;Director;M - OptEx;0.0;7403;0;0001127602-25-013732
D;2025-05-08 17:09:50;2025-05-06;INTC;Liu Tsu-Jae King;Director;M - OptEx;0.0;-7403;0;0001127602-25-013732
DM;2025-05-08 17:03:29;2025-05-06;INTC;Henry Alyssa;Director;M - OptEx;0.0;10697;0;0001127602-25-013726
DM;2025-05-08 17:03:29;2025-05-06;INTC;Henry Alyssa;Director;M - OptEx;0.0;-10697;0;0001127602-25-013726
D;2025-05-08 17:03:29;2025-05-07;INTC;Henry Alyssa;Director;A - Grant;0.0;12552;0;0001127602-25-013726
D;2025-05-08 16:58:47;2025-05-06;INTC;Goldsmith Andrea Jo;Director;M - OptEx;0.0;7403;0;0001127602-25-013723
D;2025-05-08 16:58:47;2025-05-06;INTC;Goldsmith Andrea Jo;Director;M - OptEx;0.0;-7403;0;0001127602-25-013723
D;2025-05-08 16:58:47;2025-05-07;INTC;Goldsmith Andrea Jo;Director;A - Grant;0.0;12552;0;0001127602-25-013723
DM;2025-05-08 16:57:14;2025-05-06;INTC;Goetz James J;Director;M - OptEx;0.0;10697;0;0001127602-25-013720
DM;2025-05-08 16:57:14;2025-05-06;INTC;Goetz James J;Director;M - OptEx;0.0;-10697;0;0001127602-25-013720
D;2025-05-08 16:57:14;2025-05-07;INTC;Goetz James J;Director;A - Grant;0.0;12552;0;0001127602-25-013720
DM;2025-05-02 16:14:21;2025-04-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;7624;0;0001127602-25-013180
DM;2025-05-02 16:14:21;2025-04-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;19.87;-3781;75128;0001127602-25-013180
DM;2025-05-02 16:14:21;2025-04-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-7624;0;0001127602-25-013180
D;2025-05-02 16:13:27;2025-04-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;2723;0;0001127602-25-013177
D;2025-05-02 16:13:27;2025-04-30;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;19.87;-1102;21897;0001127602-25-013177
D;2025-05-02 16:13:27;2025-04-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-2723;0;0001127602-25-013177
D;2025-04-01 16:29:26;2025-03-28;INTC;Smith Gregory D;Director;A - Grant;0.0;0;0;0001127602-25-010794
D;2025-04-01 16:27:51;2025-03-28;INTC;Ishrak Omar;Director;A - Grant;0.0;0;0;0001127602-25-010793
;2025-03-25 16:30:52;2025-03-21;INTC;Tan Lip Bu;CEO, Director;A - Grant;23.96;1043406;25000008;0001127602-25-010360
DM;2025-03-20 16:39:07;2025-03-18;INTC;Tan Lip Bu;CEO, Director;A - Grant;0.0;4200183;0;0001127602-25-010158
D;2025-03-03 17:45:48;2025-02-28;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;28996;0;0001127602-25-007573
D;2025-03-03 17:45:48;2025-02-28;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;F - Tax;23.54;-14377;338435;0001127602-25-007573
D;2025-03-03 17:45:48;2025-02-28;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;-28996;0;0001127602-25-007573
DM;2025-03-03 17:45:48;2025-02-28;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;A - Grant;0.0;422182;0;0001127602-25-007573
D;2025-03-03 17:45:00;2025-02-28;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;28996;0;0001127602-25-007572
D;2025-03-03 17:45:00;2025-02-28;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";F - Tax;23.54;-12701;298982;0001127602-25-007572
D;2025-03-03 17:45:00;2025-02-28;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;-28996;0;0001127602-25-007572
DM;2025-03-03 17:45:00;2025-02-28;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";A - Grant;0.0;422182;0;0001127602-25-007572
D;2025-03-03 17:43:29;2025-02-28;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;32389;0;0001127602-25-007570
D;2025-03-03 17:43:29;2025-02-28;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;F - Tax;23.54;-11483;270310;0001127602-25-007570
DM;2025-03-03 17:43:29;2025-02-28;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;A - Grant;0.0;943173;0;0001127602-25-007570
D;2025-03-03 17:43:29;2025-02-28;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;-32389;0;0001127602-25-007570
DM;2025-03-03 17:40:36;2025-02-28;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;4442;0;0001127602-25-007568
DM;2025-03-03 17:40:36;2025-02-28;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;23.54;-2203;51859;0001127602-25-007568
D;2025-03-03 17:40:36;2025-02-28;INTC;Gawel Scott;CVP, Chief Accounting Officer;A - Grant;0.0;94318;0;0001127602-25-007568
DM;2025-03-03 17:40:36;2025-02-28;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-4442;0;0001127602-25-007568
D;2025-03-03 17:39:36;2025-02-28;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;16194;0;0001127602-25-007567
D;2025-03-03 17:39:36;2025-02-28;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;23.54;-4511;106189;0001127602-25-007567
D;2025-03-03 17:39:36;2025-02-28;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-16194;0;0001127602-25-007567
DM;2025-03-03 17:39:36;2025-02-28;INTC;Miller Boise April;EVP and Chief Legal Officer;A - Grant;0.0;235794;0;0001127602-25-007567
DM;2025-02-03 17:10:42;2025-01-31;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;82185;0;0001127602-25-002797
DM;2025-02-03 17:10:42;2025-01-31;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;F - Tax;19.86;-33267;660683;0001127602-25-002797
DM;2025-02-03 17:10:42;2025-01-31;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;-82185;0;0001127602-25-002797
D;2025-02-03 17:09:52;2025-01-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;8063;0;0001127602-25-002796
D;2025-02-03 17:09:52;2025-01-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";F - Tax;19.77;-3059;60476;0001127602-25-002796
D;2025-02-03 17:09:52;2025-01-30;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;-8063;0;0001127602-25-002796
D;2025-02-03 17:09:00;2025-01-30;INTC;Sanghi Steve;Director;A - Grant;0.0;5132;0;0001127602-25-002795
D;2025-02-03 17:06:27;2025-01-30;INTC;Meurice Eric;Director;A - Grant;0.0;5132;0;0001127602-25-002793
D;2025-02-03 17:05:24;2025-01-31;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;8118;0;0001127602-25-002792
D;2025-02-03 17:05:24;2025-01-31;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;F - Tax;19.86;-2003;39780;0001127602-25-002792
D;2025-02-03 17:05:24;2025-01-31;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;-8118;0;0001127602-25-002792
DM;2025-02-03 17:04:16;2025-01-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;7624;0;0001127602-25-002791
DM;2025-02-03 17:04:16;2025-01-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;19.77;-4035;79772;0001127602-25-002791
DM;2025-02-03 17:04:16;2025-01-30;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-7624;0;0001127602-25-002791
D;2025-02-03 17:02:26;2025-01-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;2723;0;0001127602-25-002788
D;2025-02-03 17:02:26;2025-01-30;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;19.77;-903;17852;0001127602-25-002788
D;2025-02-03 17:02:26;2025-01-30;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-2723;0;0001127602-25-002788
D;2024-12-31 16:13:06;2024-12-27;INTC;Yeary Frank D;Director;A - Grant;0.0;0;0;0001127602-24-030214
D;2024-12-31 16:12:15;2024-12-27;INTC;Smith Gregory D;Director;A - Grant;0.0;0;0;0001127602-24-030213
D;2024-12-31 16:11:20;2024-12-27;INTC;Ishrak Omar;Director;A - Grant;0.0;0;0;0001127602-24-030212
D;2024-12-31 16:10:23;2024-12-27;INTC;Goldsmith Andrea Jo;Director;A - Grant;0.0;0;0;0001127602-24-030211
D;2024-12-05 16:17:15;2024-12-03;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;5283;0;0001127602-24-028708
D;2024-12-05 16:17:15;2024-12-03;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;F - Tax;23.1;-2620;60522;0001127602-24-028708
D;2024-12-05 16:17:15;2024-12-03;INTC;Zinsner David;Interim Co-CEO, EVP, CFO;M - OptEx;0.0;-5283;0;0001127602-24-028708
D;2024-12-05 16:16:26;2024-12-03;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;5283;0;0001127602-24-028707
D;2024-12-05 16:16:26;2024-12-03;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";F - Tax;23.1;-2620;60522;0001127602-24-028707
D;2024-12-05 16:16:26;2024-12-03;INTC;Schell Christoph;"EVP; Chief Cml Ofcr; SMG";M - OptEx;0.0;-5283;0;0001127602-24-028707
D;2024-12-05 16:15:10;2024-12-03;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;5283;0;0001127602-24-028706
D;2024-12-05 16:15:10;2024-12-03;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;F - Tax;23.1;-2079;48025;0001127602-24-028706
D;2024-12-05 16:15:10;2024-12-03;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;-5283;0;0001127602-24-028706
D;2024-12-05 16:14:06;2024-12-03;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;1596;0;0001127602-24-028704
D;2024-12-05 16:14:06;2024-12-03;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;23.1;-792;18295;0001127602-24-028704
D;2024-12-05 16:14:06;2024-12-03;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;-1596;0;0001127602-24-028704
D;2024-12-05 16:11:02;2024-12-03;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;4706;0;0001127602-24-028701
D;2024-12-05 16:11:02;2024-12-03;INTC;Miller Boise April;EVP and Chief Legal Officer;F - Tax;23.1;-2334;53915;0001127602-24-028701
D;2024-12-05 16:11:02;2024-12-03;INTC;Miller Boise April;EVP and Chief Legal Officer;M - OptEx;0.0;-4706;0;0001127602-24-028701
D;2024-12-04 16:39:03;2024-12-02;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;77179;0;0001127602-24-028639
D;2024-12-04 16:39:03;2024-12-02;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;F - Tax;24.46;-30370;742850;0001127602-24-028639
D;2024-12-04 16:39:03;2024-12-02;INTC;Holthaus Michelle Johnston;Interim Co-CEO, CEO Intel Prod;M - OptEx;0.0;-77179;0;0001127602-24-028639
DM;2024-12-04 16:37:33;2024-12-02;INTC;Gawel Scott;CVP, Chief Accounting Officer;M - OptEx;0.0;4444;0;0001127602-24-028638
DM;2024-12-04 16:37:33;2024-12-02;INTC;Gawel Scott;CVP, Chief Accounting Officer;F - Tax;24.46;-2204;53910;0001127602-24-028638
